,zip_code
1836,94802
1837,94803
1838,94804
1839,94805
1840,94806
1841,94807
1842,94808
1843,94820
1844,94850
1845,94901
1846,94903
1847,94904
1848,94912
1849,94913
1850,94914
1851,94915
1852,94920
1853,94922
1854,94923
1855,94924
1856,94925
1857,94926
1858,94927
1859,94928
1860,94929
1861,94930
1862,94931
1863,94933
1864,94937
1865,94938
1866,94939
1867,94940
1868,94941
1869,94942
1870,94945
1871,94946
1872,94947
1873,94948
1874,94949
1875,94950
1876,94951
1877,94952
1878,94953
1879,94954
1880,94955
1881,94956
1882,94957
1883,94960
1884,94963
1885,94964
1886,94965
1887,94966
1888,94970
1889,94971
1890,94972
1891,94973
1892,94974
1893,94975
1894,94976
1895,94977
1896,94978
1897,94979
1898,94998
1899,94999
1900,95001
1901,95002
1902,95003
1903,95004
1904,95005
1905,95006
1906,95007
1907,95008
1908,95009
1909,95010
1910,95011
1911,95012
1912,95013
1913,95014
1914,95015
1915,95017
1916,95018
1917,95019
1918,95020
1919,95021
1920,95023
1921,95024
1922,95026
1923,95030
1924,95031
1925,95032
1926,95033
1927,95035
1928,95036
1929,95037
1930,95038
1931,95039
1932,95041
1933,95042
1934,95043
1935,95044
1936,95045
1937,95046
1938,95050
1939,95051
1940,95052
1941,95053
1942,95054
1943,95055
1944,95056
1945,95060
1946,95061
1947,95062
1948,95063
1949,95064
1950,95065
1951,95066
1952,95067
1953,95070
1954,95071
1955,95073
1956,95075
1957,95076
1958,95077
1959,95101
1960,95103
1961,95106
1962,95108
1963,95109
1964,95110
1965,95111
1966,95112
1967,95113
1968,95115
1969,95116
1970,95117
1971,95118
1972,95119
1973,95120
1974,95121
1975,95122
1976,95123
1977,95124
1978,95125
1979,95126
1980,95127
1981,95128
1982,95129
1983,95130
1984,95131
1985,95132
1986,95133
1987,95134
1988,95135
1989,95136
1990,95138
1991,95139
1992,95140
1993,95141
1994,95148
1995,95150
1996,95151
1997,95152
1998,95153
1999,95154
2000,95155
2001,95156
2002,95157
2003,95158
2004,95159
2005,95160
2006,95161
2007,95164
2008,95170
2009,95172
2010,95173
2011,95190
2012,95191
2013,95192
2014,95193
2015,95194
2016,95196
2017,95201
2018,95202
2019,95203
2020,95204
2021,95205
2022,95206
2023,95207
2024,95208
2025,95209
2026,95210
2027,95211
2028,95212
2029,95213
2030,95214
2031,95215
2032,95219
2033,95220
2034,95221
2035,95222
2036,95223
2037,95224
2038,95225
2039,95226
2040,95227
2041,95228
2042,95229
2043,95230
2044,95231
2045,95232
2046,95233
2047,95234
2048,95236
2049,95237
2050,95240
2051,95241
2052,95242
2053,95245
2054,95246
2055,95247
2056,95248
2057,95249
2058,95250
2059,95251
2060,95252
2061,95253
2062,95254
2063,95255
2064,95257
2065,95258
2066,95267
2067,95269
2068,95296
2069,95297
2070,95301
2071,95303
2072,95304
2073,95305
2074,95306
2075,95307
2076,95309
2077,95310
2078,95311
2079,95312
2080,95313
2081,95314
2082,95315
2083,95316
2084,95317
2085,95318
2086,95319
2087,95320
2088,95321
2089,95322
2090,95323
2091,95324
2092,95325
2093,95326
2094,95327
2095,95328
2096,95329
2097,95330
2098,95333
2099,95334
2100,95335
2101,95336
2102,95337
2103,95338
2104,95340
2105,95341
2106,95343
2107,95344
2108,95345
2109,95346
2110,95347
2111,95348
2112,95350
2113,95351
2114,95352
2115,95353
2116,95354
2117,95355
2118,95356
2119,95357
2120,95358
2121,95360
2122,95361
2123,95363
2124,95364
2125,95365
2126,95366
2127,95367
2128,95368
2129,95369
2130,95370
2131,95372
2132,95373
2133,95374
2134,95375
2135,95376
2136,95377
2137,95378
2138,95379
2139,95380
2140,95381
2141,95382
2142,95383
2143,95385
2144,95386
2145,95387
2146,95388
2147,95389
2148,95391
2149,95397
2150,95401
2151,95402
2152,95403
2153,95404
2154,95405
2155,95406
2156,95407
2157,95409
2158,95410
2159,95412
2160,95415
2161,95416
2162,95417
2163,95418
2164,95419
2165,95420
2166,95421
2167,95422
2168,95423
2169,95424
2170,95425
2171,95426
2172,95427
2173,95428
2174,95429
2175,95430
2176,95431
2177,95432
2178,95433
2179,95435
2180,95436
2181,95437
2182,95439
2183,95441
2184,95442
2185,95443
2186,95444
2187,95445
2188,95446
2189,95448
2190,95449
2191,95450
2192,95451
2193,95452
2194,95453
2195,95454
2196,95456
2197,95457
2198,95458
2199,95459
2200,95460
2201,95461
2202,95462
2203,95463
2204,95464
2205,95465
2206,95466
2207,95467
2208,95468
2209,95469
2210,95470
2211,95471
2212,95472
2213,95473
2214,95476
2215,95480
2216,95481
2217,95482
2218,95485
2219,95486
2220,95487
2221,95488
2222,95490
2223,95492
2224,95493
2225,95494
2226,95497
2227,95501
2228,95502
2229,95503
2230,95511
2231,95514
2232,95518
2233,95519
2234,95521
2235,95524
2236,95525
2237,95526
2238,95527
2239,95528
2240,95531
2241,95532
2242,95534
2243,95536
2244,95537
2245,95538
2246,95540
2247,95542
2248,95543
2249,95545
2250,95546
2251,95547
2252,95548
2253,95549
2254,95550
2255,95551
2256,95552
2257,95553
2258,95554
2259,95555
2260,95556
2261,95558
2262,95559
2263,95560
2264,95562
2265,95563
2266,95564
2267,95565
2268,95567
2269,95568
2270,95569
2271,95570
2272,95571
2273,95573
2274,95585
2275,95587
2276,95589
2277,95595
2278,95601
2279,95602
2280,95603
2281,95604
2282,95605
2283,95606
2284,95607
2285,95608
2286,95609
2287,95610
2288,95611
2289,95612
2290,95613
2291,95614
2292,95615
2293,95616
2294,95617
2295,95618
2296,95619
2297,95620
2298,95621
2299,95623
2300,95624
2301,95625
2302,95626
2303,95627
2304,95628
2305,95629
2306,95630
2307,95631
2308,95632
2309,95633
2310,95634
2311,95635
2312,95636
2313,95637
2314,95638
2315,95639
2316,95640
2317,95641
2318,95642
2319,95644
2320,95645
2321,95646
2322,95648
2323,95650
2324,95651
2325,95652
2326,95653
2327,95654
2328,95655
2329,95656
2330,95658
2331,95659
2332,95660
2333,95661
2334,95662
2335,95663
2336,95664
2337,95665
2338,95666
2339,95667
2340,95668
2341,95669
2342,95670
2343,95671
2344,95672
2345,95673
2346,95674
2347,95675
2348,95676
2349,95677
2350,95678
2351,95679
2352,95680
2353,95681
2354,95682
2355,95683
2356,95684
2357,95685
2358,95686
2359,95687
2360,95688
2361,95689
2362,95690
2363,95691
2364,95692
2365,95693
2366,95694
2367,95695
2368,95696
2369,95697
2370,95698
2371,95699
2372,95701
2373,95703
2374,95709
2375,95712
2376,95713
2377,95714
2378,95715
2379,95717
2380,95720
2381,95721
2382,95722
2383,95724
2384,95726
2385,95728
2386,95735
2387,95736
2388,95741
2389,95742
2390,95746
2391,95747
2392,95757
2393,95758
2394,95759
2395,95762
2396,95763
2397,95765
2398,95776
2399,95798
2400,95799
2401,95811
2402,95812
2403,95813
2404,95814
2405,95815
2406,95816
2407,95817
2408,95818
2409,95819
2410,95820
2411,95821
2412,95822
2413,95823
2414,95824
2415,95825
2416,95826
2417,95827
2418,95828
2419,95829
2420,95830
2421,95831
2422,95832
2423,95833
2424,95834
2425,95835
2426,95836
2427,95837
2428,95838
2429,95840
2430,95841
2431,95842
2432,95843
2433,95851
2434,95852
2435,95853
2436,95860
2437,95864
2438,95865
2439,95866
2440,95867
2441,95887
2442,95894
2443,95899
2444,95901
2445,95903
2446,95910
2447,95912
2448,95913
2449,95914
2450,95915
2451,95916
2452,95917
2453,95918
2454,95919
2455,95920
2456,95922
2457,95923
2458,95924
2459,95925
2460,95926
2461,95927
2462,95928
2463,95929
2464,95930
2465,95932
2466,95934
2467,95935
2468,95936
2469,95937
2470,95938
2471,95939
2472,95940
2473,95941
2474,95942
2475,95943
2476,95944
2477,95945
2478,95946
2479,95947
2480,95948
2481,95949
2482,95950
2483,95951
2484,95953
2485,95954
2486,95955
2487,95956
2488,95957
2489,95958
2490,95959
2491,95960
2492,95961
2493,95962
